id,q1,q2,q3,q4,q10a,q10b,q10c,q10d,q10e,q10f,q10g,Q11,Q12,Q13,Q14,Q15,Q16,Q17
122.00,1,6,1,7,4,5,1,2,5,9,1,0.00,4,80.00,1,2,1,2
1103.00,1,5,#NULL!,7,4,1,1,2,4,4,3,0.00,99,30.00,1,2,1,2
1104.00,1,6,2,8,3,1,1,2,5,5,2,0.00,4,99.00,1,1,1,2
1293.00,1,5,#NULL!,7,1,1,2,3,1,2,1,2.00,9,50.00,10,2,1,2
1294.00,1,6,2,7,3,2,2,4,5,4,2,0.00,8,90.00,1,1,1,2
1295.00,1,6,5,6,5,5,5,5,5,5,5,20.00,9,75.00,10,1,1,2
573.00,1,5,#NULL!,7,2,1,2,2,4,5,3,15.00,7,30.00,4,1,1,2
574.00,1,2,#NULL!,7,4,2,1,2,4,4,4,6.00,6,0.00,5,2,1,2
534.00,1,2,#NULL!,7,1,1,1,2,1,1,1,0.00,5,0.00,9,2,1,2
594.00,1,2,#NULL!,7,2,1,2,9,4,4,1,0.00,5,0.00,1,1,1,2
1212.00,1,6,1,7,3,1,2,5,2,5,1,4.00,10,80.00,1,1,1,2
1214.00,1,5,#NULL!,7,3,2,4,2,5,4,4,0.00,2,0.00,1,2,2,2
472.00,1,2,#NULL!,6,3,3,3,2,3,4,4,6.00,5,0.00,5,2,2,2
475.00,1,6,4,7,3,2,3,2,4,4,4,0.00,10,70.00,1,1,1,2
471.00,1,6,2,5,3,1,2,2,2,3,3,0.00,6,5.00,9,1,2,2
1201.00,1,5,#NULL!,3,2,2,2,4,4,2,2,60.00,6,10.00,9,2,2,2
963.00,1,6,3,7,1,2,5,5,5,3,1,0.00,2,0.00,1,2,1,2
965.00,1,3,#NULL!,8,2,3,1,5,5,2,1,0.00,2,0.00,9,2,2,2
961.00,1,6,5,7,2,5,2,5,1,5,1,1.00,4,0.00,1,2,1,2
962.00,1,6,5,6,3,5,2,2,3,2,2,20.00,4,0.00,1,2,2,2
573.00,1,6,7,7,5,1,2,1,4,5,3,0.00,6,60.00,1,1,1,2
574.00,1,2,#NULL!,6,5,1,4,3,1,3,1,0.00,4,0.00,1,2,1,2
575.00,1,6,2,6,2,1,2,2,5,5,5,0.00,10,90.00,1,1,1,2
1023.00,1,6,4,7,2,3,1,5,3,5,3,0.00,8,70.00,6,2,1,2
1021.00,1,6,3,6,5,5,1,2,5,2,1,10.00,2,0.00,1,2,2,2
621.00,1,6,2,4,2,2,2,4,2,3,2,5.00,99,30.00,6,1,2,2
622.00,1,6,4,7,3,4,1,1,1,1,1,0.00,2,100.00,1,1,1,2
623.00,1,2,#NULL!,6,2,3,3,4,2,3,3,0.00,2,0.00,1,2,1,2
1424.00,1,6,2,6,2,4,1,1,3,5,2,0.00,7,50.00,1,1,1,2
1425.00,1,2,#NULL!,6,2,1,2,1,2,5,1,0.00,99,0.00,11,2,1,2
643.00,1,6,3,7,2,2,3,4,1,4,1,3.00,9,75.00,6,1,1,2
644.00,1,6,5,7,5,1,3,5,1,1,1,0.00,8,20.00,11,2,1,2
645.00,1,3,#NULL!,9,1,5,5,1,2,5,1,0.00,2,0.00,1,2,2,2
573.00,1,5,5,8,2,1,1,1,2,3,1,0.00,4,0.00,1,2,1,2
574.00,1,6,1,8,2,2,4,4,4,4,2,2.00,6,87.50,1,2,2,2
571.00,1,6,2,8,2,1,2,2,5,4,2,0.00,5,50.00,1,2,1,2
1263.00,1,5,#NULL!,8,5,2,1,2,2,2,1,0.00,3,10.00,4,2,1,2
1265.00,1,6,2,8,2,2,2,2,2,3,1,0.00,6,90.00,6,1,1,2
783.00,1,5,#NULL!,8,5,5,1,3,2,5,1,0.00,3,0.00,1,2,1,2
784.00,1,6,1,8,2,1,1,1,5,5,5,0.00,10,30.00,6,1,1,2
33.00,1,5,#NULL!,7,2,1,1,1,1,1,1,0.00,5,70.00,10,2,1,2
34.00,1,2,#NULL!,7,2,4,1,1,2,5,1,0.00,3,0.00,1,2,1,2
701.00,1,6,2,7,3,1,1,2,1,1,1,2.00,4,0.00,3,2,1,2
702.00,1,6,1,8,3,2,2,3,3,5,2,0.00,7,90.00,1,1,1,2
704.00,1,2,#NULL!,7,4,5,2,2,1,1,1,0.00,4,0.00,5,2,1,2
904.00,1,2,#NULL!,7,1,3,3,4,4,4,3,5.00,8,40.00,1,1,1,2
204.00,1,6,5,4,4,3,2,4,5,2,4,30.00,7,0.00,1,2,1,2
205.00,1,6,2,7,2,3,4,4,4,4,2,3.00,6,60.00,1,1,1,2
513.00,1,5,#NULL!,7,4,1,2,1,3,1,1,0.00,1,0.00,1,2,1,2
514.00,1,6,2,7,2,4,5,4,2,4,1,2.00,6,95.00,3,1,1,2
515.00,1,5,#NULL!,4,1,1,2,1,2,1,3,50.00,8,5.00,1,1,2,2
144.00,1,6,1,9,1,2,5,3,4,5,1,10.00,8,50.00,1,1,1,2
145.00,1,5,5,9,1,1,4,2,4,4,4,12.00,8,30.00,1,2,1,2
774.00,1,2,#NULL!,9,4,3,2,3,2,1,1,5.00,4,0.00,1,2,1,2
664.00,1,5,#NULL!,9,5,1,1,5,4,2,2,0.00,6,0.00,9,2,2,2
314.00,1,2,#NULL!,9,1,1,3,5,4,2,2,4.00,6,0.00,3,2,1,2
262.00,1,5,#NULL!,8,3,3,1,4,4,4,2,0.00,4,80.00,1,1,1,2
263.00,1,2,#NULL!,9,5,5,5,5,5,5,5,0.00,3,0.00,1,2,1,2
743.00,1,2,#NULL!,9,1,1,2,4,4,1,3,3.00,3,0.00,1,2,1,2
283.00,1,6,4,8,3,2,2,2,4,5,2,0.00,8,90.00,4,1,1,2
571.00,1,6,2,8,1,4,2,5,1,9,1,0.00,6,2.00,9,2,1,2
573.00,1,6,4,9,3,2,3,3,3,3,4,0.00,8,90.00,1,1,1,2
574.00,1,2,#NULL!,6,5,1,2,5,1,5,1,0.00,3,0.00,1,1,1,2
575.00,1,6,2,4,3,1,2,3,4,4,1,7.00,7,90.00,1,1,2,2
833.00,1,6,7,9,3,3,2,3,4,3,4,0.00,8,100.00,3,1,1,2
832.00,1,6,2,9,3,2,3,3,3,3,3,0.00,3,60.00,1,1,1,2
671.00,1,6,2,9,4,2,4,4,2,4,2,4.00,5,60.00,1,2,1,2
673.00,1,6,3,9,3,2,4,2,2,4,2,3.00,5,15.00,1,1,2,2
22.00,1,5,#NULL!,4,2,1,1,3,2,1,1,0.00,6,25.00,3,1,1,2
25.00,1,3,#NULL!,9,2,2,2,2,1,2,1,0.00,4,0.00,10,2,1,2
1321.00,1,6,3,8,4,4,3,4,2,5,2,0.00,4,0.00,11,2,1,2
1703.00,1,3,#NULL!,8,5,2,2,5,2,2,2,0.00,3,0.00,1,2,2,2
1704.00,1,6,2,8,2,1,3,2,2,3,1,1.00,6,50.00,6,2,1,2
1333.00,1,6,3,8,2,1,1,5,1,2,1,0.00,99,90.00,6,1,1,2
1493.00,1,4,#NULL!,8,2,3,2,3,4,5,4,0.00,7,0.00,1,2,2,2
1494.00,1,6,2,8,1,1,2,4,4,4,2,0.00,9,90.00,4,1,1,2
1495.00,1,3,#NULL!,9,2,1,5,5,4,5,2,0.00,6,5.00,4,1,2,2
1483.00,1,4,#NULL!,9,2,2,1,2,1,3,1,0.00,3,30.00,1,2,1,2
1484.00,1,6,2,7,4,3,1,3,4,5,2,0.00,6,90.00,1,1,1,2
1485.00,1,3,#NULL!,9,3,3,3,4,1,5,1,0.00,99,0.00,1,2,2,2
292.00,1,6,4,8,2,1,2,2,1,5,1,0.00,8,80.00,1,1,1,2
293.00,1,6,3,6,1,1,2,4,2,5,1,0.00,6,25.00,1,2,1,2
253.00,1,6,7,8,3,5,4,5,2,1,1,0.00,2,65.00,4,1,1,2
254.00,1,2,#NULL!,6,2,4,1,1,1,3,1,0.00,4,0.00,1,2,1,2
684.00,1,2,#NULL!,6,3,4,3,4,1,2,2,5.00,6,0.00,3,2,1,2
1271.00,1,2,#NULL!,9,3,3,4,5,4,3,2,0.00,99,0.00,3,2,1,2
1273.00,1,6,7,8,1,2,3,3,2,3,1,3.00,8,90.00,1,1,2,2
1274.00,1,2,#NULL!,4,3,1,3,2,2,2,2,20.00,6,0.00,1,2,1,2
71.00,1,6,6,9,4,4,2,3,4,5,2,0.00,5,0.00,4,1,1,2
73.00,1,2,#NULL!,6,5,5,4,5,5,4,4,1.00,6,0.00,1,2,1,2
74.00,1,6,2,8,5,5,4,1,1,5,1,0.00,99,90.00,5,2,1,2
391.00,1,4,#NULL!,8,2,5,2,4,1,1,1,1.00,8,90.00,1,1,1,2
451.00,1,2,#NULL!,6,2,2,3,3,2,3,3,2.00,3,0.00,9,1,2,2
452.00,1,6,1,8,2,2,3,3,3,2,1,5.00,6,15.00,1,1,2,2
1444.00,1,6,5,9,3,3,3,5,5,5,4,1.00,99,20.00,1,2,1,2
1445.00,1,3,#NULL!,9,2,1,1,5,4,4,2,6.00,1,15.00,3,1,1,2
344.00,1,6,2,8,4,4,2,4,2,4,2,0.00,3,50.00,3,2,2,2
345.00,1,3,#NULL!,9,5,5,1,5,5,5,1,0.00,3,0.00,1,1,1,2
61.00,1,4,#NULL!,9,3,4,1,1,1,1,1,0.00,2,0.00,5,2,1,2
61.00,1,6,2,7,3,2,2,2,2,1,1,0.00,7,95.00,6,1,1,2
61.00,1,3,#NULL!,9,3,5,5,5,4,2,2,0.00,2,0.00,11,1,2,2
331.00,1,6,2,8,3,2,3,3,3,3,1,0.00,6,80.00,6,1,1,2
333.00,1,3,#NULL!,8,3,2,2,2,3,2,1,2.00,99,0.00,1,2,1,2
124.00,1,6,2,9,5,1,1,5,5,9,2,0.00,8,95.00,4,1,2,2
933.00,1,5,3,8,3,5,2,5,5,2,2,0.00,7,10.00,1,2,2,2
934.00,1,6,1,8,4,2,2,4,2,4,2,0.00,8,80.00,1,1,2,2
1363.00,1,5,3,9,4,1,4,2,1,5,1,0.00,5,100.00,1,1,1,2
492.00,1,5,#NULL!,9,2,1,2,4,2,2,1,0.00,3,0.00,11,2,2,2
493.00,1,5,#NULL!,8,3,1,2,3,3,2,1,0.00,7,30.00,1,1,2,2
303.00,1,5,#NULL!,9,4,2,1,4,4,5,1,0.00,10,90.00,1,1,1,2
425.00,1,2,#NULL!,9,3,3,2,2,3,4,2,5.00,4,0.00,1,2,1,2
404.00,1,6,3,8,3,2,2,2,3,2,2,40.00,7,0.00,2,1,1,2
1471.00,1,4,#NULL!,4,4,2,4,4,2,2,4,3.00,5,0.00,3,2,1,2
1472.00,1,6,6,8,2,3,4,4,3,3,1,0.00,5,80.00,1,1,1,2
1474.00,1,5,#NULL!,8,3,4,1,4,3,5,3,0.00,5,0.00,1,2,1,2
723.00,1,6,6,9,1,2,2,1,1,1,3,6.00,4,0.00,1,1,1,2
724.00,1,5,5,6,3,4,3,5,4,4,5,1.00,2,0.00,11,2,1,2
725.00,1,2,#NULL!,9,3,2,9,4,4,4,2,0.00,4,0.00,1,2,1,2
1233.00,1,6,4,8,5,1,1,5,5,5,1,0.00,8,100.00,1,1,1,2
1234.00,1,2,#NULL!,6,2,2,2,3,5,5,2,20.00,6,0.00,3,2,2,2
1235.00,1,6,2,4,5,4,3,5,5,5,2,10.00,7,10.00,1,1,2,2
183.00,1,2,#NULL!,4,2,1,2,2,1,1,4,0.00,7,0.00,1,2,1,2
184.00,1,6,2,6,2,3,2,1,1,1,2,0.00,4,0.00,1,2,2,2
185.00,1,5,4,9,4,3,2,3,2,2,2,0.00,3,0.00,4,1,2,2
322.00,1,2,#NULL!,6,4,2,4,2,2,9,2,0.00,4,0.00,1,2,1,2
324.00,1,5,#NULL!,8,4,2,4,2,2,9,1,0.00,4,0.00,1,2,1,2
325.00,1,6,4,8,2,1,2,2,1,5,1,0.00,8,80.00,1,1,1,2
654.00,1,2,#NULL!,6,5,2,2,4,2,5,2,0.00,4,0.00,1,2,1,2
1582.00,1,6,7,8,2,3,1,2,2,3,2,0.00,6,60.00,5,1,1,2
1584.00,1,2,#NULL!,6,2,3,4,2,4,3,2,0.00,2,10.00,1,2,1,2
563.00,1,2,#NULL!,8,3,2,1,4,2,4,2,0.00,4,0.00,1,2,1,2
564.00,1,5,#NULL!,8,4,4,2,4,2,1,1,0.00,1,0.00,9,2,1,2
561.00,1,6,2,9,3,1,1,5,5,5,1,0.00,6,80.00,4,1,1,2
172.00,1,6,1,9,2,2,1,2,4,1,1,0.00,1,10.00,1,1,1,2
173.00,1,6,7,6,1,4,4,4,5,5,4,6.00,8,80.00,1,1,1,2
174.00,1,5,5,8,3,4,2,5,4,2,1,0.00,2,8.00,10,2,2,2
62.00,1,6,3,9,3,4,2,5,5,2,1,0.00,1,0.00,9,1,1,2
982.00,1,6,5,2,3,2,3,5,3,2,2,50.00,4,0.00,1,2,2,2
984.00,1,6,2,9,4,3,2,1,2,5,1,0.00,8,98.00,6,1,1,2
106.00,1,3,#NULL!,9,1,5,4,2,1,3,1,2.00,2,0.00,5,2,1,2
1094.00,1,6,2,9,3,2,2,1,3,1,2,2.00,5,0.00,3,2,1,2
1303.00,1,1,#NULL!,8,1,3,2,5,2,2,1,0.00,1,0.00,11,2,2,2
1305.00,1,2,#NULL!,9,2,2,1,2,1,1,1,2.00,4,0.00,1,2,1,2
1654.00,1,2,#NULL!,8,4,2,3,5,5,5,2,1.00,3,50.00,1,2,1,2
1655.00,1,6,4,6,1,2,1,2,2,2,1,3.00,8,90.00,9,1,1,2
924.00,1,2,#NULL!,9,2,2,5,4,1,1,1,3.00,9,50.00,10,2,1,2
925.00,1,5,#NULL!,9,5,1,5,5,1,1,5,5.00,10,0.00,1,2,1,2
573.00,1,5,2,8,5,2,2,4,4,4,1,0.00,4,70.00,11,2,2,2
574.00,1,6,1,8,3,3,4,5,5,5,2,1.00,9,95.00,1,1,2,2
575.00,1,6,5,6,5,2,2,2,2,5,2,10.00,8,75.00,1,1,2,2
571.00,1,6,2,6,4,1,1,3,2,4,1,0.00,5,90.00,1,2,2,2
572.00,1,6,2,6,2,4,1,2,2,3,1,0.00,4,85.00,1,1,1,2
1575.00,1,6,2,7,2,1,3,3,2,4,2,30.00,8,40.00,9,2,1,2
501.00,1,6,3,8,1,3,2,2,1,4,1,6.00,5,5.00,1,2,2,2
502.00,1,6,5,8,1,1,2,2,1,5,1,1.00,3,20.00,4,2,2,2
361.00,1,6,4,5,3,3,2,4,5,5,1,0.00,10,99.00,1,1,2,2
363.00,1,6,7,8,1,1,1,5,2,5,2,0.00,3,2.00,11,1,1,2
364.00,1,6,2,9,2,9,3,4,4,5,5,0.00,10,70.00,6,2,1,2
1133.00,1,6,4,9,1,2,2,2,1,1,1,2.00,8,90.00,4,2,1,2
1132.00,1,6,1,5,3,4,4,5,1,2,2,12.00,8,0.00,1,2,2,2
1702.00,1,6,3,9,3,1,1,1,4,3,3,0.00,4,0.00,1,2,1,2
214.00,1,6,5,9,3,2,4,2,1,5,1,0.00,3,0.00,1,2,1,2
113.00,1,2,#NULL!,9,3,3,2,3,3,4,3,0.00,4,0.00,1,2,1,2
114.00,1,5,#NULL!,8,3,4,1,2,3,2,2,0.00,4,10.00,1,2,1,2
351.00,1,6,5,9,5,5,4,4,4,4,1,0.00,7,0.00,5,2,1,2
354.00,1,5,#NULL!,9,5,3,2,2,4,4,2,0.00,3,0.00,3,2,1,2
951.00,1,5,5,6,3,4,2,2,1,1,1,7.00,3,15.00,1,2,2,2
804.00,1,5,5,9,1,1,3,5,2,1,5,0.00,3,0.00,1,2,2,2
1533.00,1,6,3,9,2,1,1,2,3,2,3,0.00,9,80.00,1,1,1,2
1562.00,1,6,5,9,2,3,3,4,4,4,4,5.00,3,50.00,1,1,1,2
1382.00,1,6,7,6,3,3,2,4,4,4,2,10.00,7,50.00,6,1,1,2
1383.00,1,2,#NULL!,6,4,2,2,3,2,1,2,2.00,2,0.00,5,2,2,2
1045.00,1,2,#NULL!,9,5,3,3,4,3,3,2,0.00,5,0.00,1,2,1,2
53.00,1,3,#NULL!,9,4,5,4,1,1,1,1,0.00,2,0.00,1,1,1,2
54.00,1,6,5,9,3,5,1,4,2,2,1,0.00,3,0.00,1,2,1,2
55.00,1,4,#NULL!,4,3,4,3,2,3,2,1,2.00,3,0.00,1,2,1,2
1354.00,1,6,1,8,4,4,1,5,1,3,1,3.00,4,5.00,1,2,1,3
913.00,1,6,2,8,3,2,5,4,4,4,3,25.00,7,30.00,1,2,1,3
695.00,1,3,#NULL!,8,3,4,2,2,1,2,2,3.00,1,0.00,1,2,2,3
45.00,1,2,#NULL!,8,1,1,2,5,5,5,5,1.00,5,0.00,1,2,2,3
575.00,1,6,5,8,4,4,2,2,4,5,2,0.00,8,95.00,1,2,2,3
313.00,1,5,2,8,4,4,2,3,2,1,2,0.00,2,2.00,1,1,2,3
742.00,1,6,2,8,3,3,2,2,1,2,1,0.00,3,0.00,9,1,2,3
23.00,1,6,3,8,2,1,1,5,2,5,4,0.00,5,1.00,3,2,2,3
604.00,1,2,#NULL!,8,4,4,2,4,2,3,2,0.00,3,0.00,9,2,2,3
721.00,1,6,2,9,2,3,2,4,1,1,1,35.00,6,90.00,5,2,1,3
653.00,1,6,7,9,2,5,4,1,1,4,3,30.00,8,30.00,1,1,1,3
985.00,1,6,5,6,1,2,2,3,5,5,5,35.00,8,60.00,1,2,2,3
106.00,1,6,3,9,5,4,4,2,4,4,4,20.00,4,0.00,5,2,1,3
1053.00,1,5,#NULL!,9,2,2,2,3,3,2,4,0.00,2,0.00,11,2,2,3
1703.00,1,3,#NULL!,8,3,1,3,3,1,3,1,0.00,3,0.00,5,2,2,3
1704.00,1,6,2,9,1,1,5,1,2,1,1,8.00,3,0.00,2,2,1,3
952.00,1,6,2,9,4,1,2,5,2,4,4,20.00,7,50.00,1,1,2,3
553.00,1,6,6,9,3,2,1,4,5,3,1,0.00,6,0.00,1,1,1,4
1695.00,1,2,#NULL!,8,5,2,2,2,1,9,1,0.00,2,0.00,11,2,2,4
1335.00,1,3,#NULL!,9,5,3,3,4,1,4,1,0.00,2,0.00,5,2,2,4
353.00,1,3,#NULL!,9,5,5,2,2,2,2,1,0.00,1,0.00,9,2,2,4
1535.00,1,3,#NULL!,9,3,2,1,2,3,3,2,0.00,3,0.00,1,2,1,4
