id,q1,q2,q3,q4,q10a,q10b,q10c,q10d,q10e,q10f,q10g,Q11,Q12,Q13,Q14,Q15,Q16,Q17
1105.00,1,6,2,3,2,3,4,5,2,1,1,4.00,1,0.00,1,1,2,1
533.00,1,6,4,6,1,4,1,2,4,2,1,0.00,6,25.00,1,1,2,1
593.00,1,6,4,6,2,4,3,3,4,2,2,0.00,2,50.00,1,1,2,1
591.00,1,6,2,4,2,3,2,2,2,1,1,8.00,3,50.00,9,1,2,1
1213.00,1,6,2,3,4,1,1,5,4,1,3,10.00,7,0.00,3,1,2,1
473.00,1,6,3,4,2,2,3,2,2,2,3,25.00,9,80.00,1,2,2,1
474.00,1,6,2,3,2,1,4,1,1,2,2,6.00,5,10.00,1,1,2,1
1203.00,1,6,6,9,1,3,5,5,5,5,2,50.00,9,0.00,1,1,2,1
1204.00,1,6,4,3,2,2,2,4,2,4,2,30.00,10,60.00,6,1,2,1
1205.00,1,6,1,4,3,4,4,4,4,4,4,60.00,10,40.00,6,1,2,1
1202.00,1,6,3,3,1,1,1,4,4,4,4,80.00,10,30.00,1,2,2,1
964.00,1,6,5,3,2,4,2,5,5,4,2,50.00,10,0.00,1,2,2,1
1025.00,1,6,3,6,3,1,2,1,3,1,1,20.00,8,40.00,1,1,2,1
1022.00,1,6,3,2,3,2,2,2,3,4,4,10.00,7,0.00,1,2,2,1
625.00,1,6,3,3,5,5,5,5,2,1,2,6.00,4,80.00,9,1,2,1
1423.00,1,4,#NULL!,3,1,2,2,3,1,1,2,3.00,1,0.00,1,1,2,1
1374.00,1,6,4,2,2,1,2,3,2,3,1,100.00,7,30.00,9,1,2,1
1375.00,1,6,1,4,3,5,3,5,4,2,1,1.00,3,5.00,1,1,2,1
641.00,1,6,2,5,5,1,3,5,2,5,1,3.00,6,0.00,1,1,2,1
572.00,1,6,5,5,3,2,1,2,3,1,3,49.00,8,3.00,1,2,2,1
1261.00,1,6,5,4,2,3,1,5,5,1,5,40.00,8,2.00,9,1,2,1
1262.00,1,5,5,4,1,1,1,1,2,3,1,2.00,4,40.00,11,1,2,1
781.00,1,6,4,4,2,1,1,1,1,2,1,10.00,6,50.00,1,1,2,1
782.00,1,6,5,5,2,1,1,1,1,5,1,15.00,3,0.00,1,2,2,1
703.00,1,6,4,4,2,2,1,4,5,5,3,70.00,5,10.00,1,1,2,1
903.00,1,6,4,4,3,2,2,3,4,5,4,25.00,7,0.00,1,1,2,1
201.00,1,6,7,5,2,2,5,1,2,2,2,25.00,5,25.00,1,1,2,1
164.00,1,2,#NULL!,8,1,3,2,2,3,3,1,0.00,2,0.00,1,2,2,1
773.00,1,6,4,6,2,2,4,4,2,1,2,20.00,4,0.00,1,1,2,1
661.00,1,6,5,4,3,1,2,3,5,2,2,20.00,8,30.00,1,2,2,1
662.00,1,5,#NULL!,5,4,1,4,5,5,2,5,25.00,10,5.00,1,2,2,1
665.00,1,1,#NULL!,3,3,1,3,2,2,2,1,0.00,4,0.00,1,1,2,1
311.00,1,6,3,4,2,5,5,5,2,2,1,1.00,1,0.00,11,2,2,1
264.00,1,6,2,4,3,1,9,3,3,2,2,30.00,10,10.00,4,1,2,1
265.00,1,6,2,3,5,1,2,2,2,3,3,10.00,6,0.00,3,2,2,1
744.00,1,2,#NULL!,2,2,1,5,1,3,5,1,20.00,8,0.00,9,1,2,1
745.00,1,5,5,4,2,1,1,4,3,2,4,15.00,8,0.00,11,2,2,1
282.00,1,6,3,4,2,2,4,4,2,4,1,6.00,5,5.00,1,1,2,1
284.00,1,5,#NULL!,4,3,2,3,4,3,1,1,10.00,5,20.00,11,2,2,1
285.00,1,1,#NULL!,3,5,3,1,5,1,1,2,20.00,6,5.00,1,2,2,1
834.00,1,6,1,6,3,3,2,2,5,4,2,10.00,4,10.00,1,1,2,1
835.00,1,6,2,6,5,5,1,5,5,1,1,50.00,4,1.00,5,1,2,1
831.00,1,5,5,2,1,1,5,1,2,1,2,20.00,5,0.00,4,1,1,1
672.00,1,6,3,5,5,2,2,5,4,2,1,10.00,6,0.00,1,2,2,1
674.00,1,6,5,5,3,4,4,4,5,5,3,10.00,8,15.00,3,1,2,1
675.00,1,3,#NULL!,9,1,2,3,2,3,3,2,0.00,7,10.00,1,2,2,1
21.00,1,1,#NULL!,5,3,2,1,1,1,1,2,14.00,3,0.00,1,1,2,1
24.00,1,6,5,5,2,3,5,2,2,2,2,4.00,4,0.00,1,1,2,1
1322.00,1,6,6,5,3,5,2,5,1,1,1,50.00,7,0.00,9,1,2,1
1705.00,1,6,5,5,3,2,5,2,4,4,3,12.00,6,5.00,1,1,2,1
1332.00,1,1,#NULL!,2,2,2,2,1,4,4,3,55.00,6,0.00,1,1,2,1
1334.00,1,6,5,3,5,2,5,1,1,1,5,20.00,6,0.00,1,2,2,1
1491.00,1,4,#NULL!,3,2,1,2,2,4,2,4,40.00,7,0.00,1,2,1,1
1492.00,1,1,#NULL!,3,1,2,2,4,1,1,1,15.00,6,0.00,1,2,2,1
1481.00,1,5,#NULL!,2,2,1,2,2,2,2,2,15.00,6,0.00,1,2,2,1
1482.00,1,1,#NULL!,3,3,2,3,2,2,2,2,10.00,6,0.00,1,2,2,1
291.00,1,1,#NULL!,3,5,5,1,5,5,5,4,5.00,4,0.00,1,2,2,1
294.00,1,5,#NULL!,6,3,3,5,4,2,4,3,21.00,6,0.00,1,1,2,1
255.00,1,6,2,6,4,3,4,2,2,3,2,15.00,6,2.00,3,1,2,1
681.00,1,5,5,6,2,2,5,4,3,9,2,20.00,2,0.00,11,1,2,1
682.00,1,6,5,6,5,3,2,4,2,1,2,12.00,4,0.00,4,2,2,1
685.00,1,6,2,6,3,1,2,4,2,5,2,20.00,6,5.00,1,1,2,1
1275.00,1,6,2,6,1,2,2,3,4,4,2,25.00,8,80.00,6,1,2,1
72.00,1,6,1,3,4,4,5,4,2,4,2,10.00,5,10.00,4,2,2,1
393.00,1,6,6,6,3,3,2,9,3,3,5,0.00,10,65.00,6,1,2,1
395.00,1,5,#NULL!,5,3,1,4,1,4,2,3,20.00,7,5.00,1,2,2,1
455.00,1,4,#NULL!,5,2,2,4,4,4,2,5,20.00,9,25.00,1,2,2,1
1442.00,1,1,#NULL!,5,3,3,2,3,4,4,1,25.00,5,0.00,5,1,2,1
1443.00,1,4,#NULL!,6,5,4,1,5,1,2,5,3.00,4,2.00,1,2,2,1
343.00,1,6,4,3,1,3,2,4,2,2,2,30.00,7,30.00,7,1,2,1
341.00,1,6,2,4,3,3,4,2,2,4,2,15.00,3,1.00,9,2,2,1
342.00,1,6,1,4,3,4,2,2,4,2,4,20.00,6,0.00,6,2,2,1
61.00,1,6,5,3,2,2,1,5,5,4,5,10.00,6,0.00,1,2,2,1
61.00,1,1,#NULL!,3,4,3,3,5,5,5,3,100.00,8,0.00,1,2,2,1
